"sample","rownames.track_V9_all.","input","filtered","denoised","nonchim","run"
"138_NGS22-011","138_NGS22-011","87705","45703","45439","45184","r1"
"139_NGS22-011","139_NGS22-011","208593","98380","98066","96578","r1"
"140_NGS22-011","140_NGS22-011","39586","16941","16789","16789","r1"
"141_NGS22-011","141_NGS22-011","90574","32008","31906","31738","r1"
"142_NGS22-011","142_NGS22-011","64796","26949","26840","26528","r1"
"143_NGS22-011","143_NGS22-011","65697","28290","28214","28025","r1"
"144_NGS22-011","144_NGS22-011","82925","35130","34934","34561","r1"
"145_NGS22-011","145_NGS22-011","55970","8393","8216","8216","r1"
"146_NGS22-011","146_NGS22-011","58244","29763","29511","29360","r1"
"147_NGS22-011","147_NGS22-011","50812","23154","22936","22780","r1"
"148_NGS22-011","148_NGS22-011","51423","24217","24056","24014","r1"
"149_NGS22-011","149_NGS22-011","49577","21047","20880","20854","r1"
"150_NGS22-011","150_NGS22-011","35046","19057","18888","18888","r1"
"151_NGS22-011","151_NGS22-011","44013","27234","27107","26912","r1"
"152_NGS22-011","152_NGS22-011","62494","26908","26796","26472","r1"
"153_NGS22-011","153_NGS22-011","117551","70658","70462","69057","r1"
"154_NGS22-011","154_NGS22-011","48199","31487","31359","31324","r1"
"155_NGS22-011","155_NGS22-011","213167","107422","107214","105998","r1"
"156_NGS22-011","156_NGS22-011","57462","29661","29521","29220","r1"
"157_NGS22-011","157_NGS22-011","76006","39645","39478","39266","r1"
"158_NGS22-011","158_NGS22-011","50803","32051","31945","31531","r1"
"159_NGS22-011","159_NGS22-011","9","2","1","1","r1"
"160_NGS22-011","160_NGS22-011","98320","58713","58548","58284","r1"
"161_NGS22-011","161_NGS22-011","153928","70511","70273","68674","r1"
"162_NGS22-011","162_NGS22-011","143191","59655","59375","58518","r1"
"163_NGS22-011","163_NGS22-011","113282","60327","60132","58873","r1"
"164_NGS22-011","164_NGS22-011","106450","58549","58438","57564","r1"
"165_NGS22-011","165_NGS22-011","115394","47259","47105","46851","r1"
"166_NGS22-011","166_NGS22-011","129807","65603","65439","64398","r1"
"167_NGS22-011","167_NGS22-011","112338","62555","62336","61479","r1"
"168_NGS22-011","168_NGS22-011","91968","38665","38521","37871","r1"
"169_NGS22-011","169_NGS22-011","152917","66996","66831","64962","r1"
"170_NGS22-011","170_NGS22-011","140172","84101","83903","80843","r1"
"K1i_NGS22-011","K1i_NGS22-011","113470","86027","86003","86003","r1"
"K1p_NGS22-011","K1p_NGS22-011","17","3","1","1","r1"
"K2i_NGS22-011","K2i_NGS22-011","54535","38861","38641","38457","r1"
"K2p_NGS22-011","K2p_NGS22-011","37","17","6","6","r1"
"K3i_NGS22-011","K3i_NGS22-011","59627","37448","37319","37319","r1"
"K3p_NGS22-011","K3p_NGS22-011","24883","13042","13033","13033","r1"
"K4i_NGS22-011","K4i_NGS22-011","46700","27390","27382","27379","r1"
"K4p_NGS22-011","K4p_NGS22-011","55565","33438","33422","33303","r1"
"022_NGS22-016","022_NGS22-016","401056","170506","170226","168362","r2"
"068_NGS22-016","068_NGS22-016","274345","140500","140197","139593","r2"
"096_NGS22-016","096_NGS22-016","296201","106026","105750","105252","r2"
"101_NGS22-016","101_NGS22-016","456724","213362","213114","209132","r2"
"118_NGS22-016","118_NGS22-016","455931","224632","224398","223043","r2"
"126_NGS22-016","126_NGS22-016","227983","86477","86289","85513","r2"
"134_NGS22-016","134_NGS22-016","303316","110952","110761","110108","r2"
"140_NGS22-016","140_NGS22-016","222976","102637","102260","101802","r2"
"141_NGS22-016","141_NGS22-016","392465","74863","74684","74190","r2"
"142_NGS22-016","142_NGS22-016","482839","164887","164730","163556","r2"
"143_NGS22-016","143_NGS22-016","594397","230375","230228","229338","r2"
"145_NGS22-016","145_NGS22-016","512795","83917","83705","83519","r2"
"150_NGS22-016","150_NGS22-016","232976","73636","73447","72920","r2"
"151_NGS22-016","151_NGS22-016","403421","179535","179241","176003","r2"
"154_NGS22-016","154_NGS22-016","280451","137530","137287","136217","r2"
"K1p_NGS22-016","K1p_NGS22-016","393561","240495","240421","240401","r2"
