"sample","rownames.track_V4_all.","input","filtered","denoised","nonchim","run"
"001_NGS22-011","001_NGS22-011","130672","28403","27337","24779","r1"
"002_NGS22-011","002_NGS22-011","102722","19857","19142","17644","r1"
"003_NGS22-011","003_NGS22-011","114933","24151","23340","20928","r1"
"004_NGS22-011","004_NGS22-011","149673","29614","28711","25543","r1"
"005_NGS22-011","005_NGS22-011","132489","29893","29131","26905","r1"
"006_NGS22-011","006_NGS22-011","113095","19541","18774","17096","r1"
"007_NGS22-011","007_NGS22-011","177666","42867","41601","36925","r1"
"008_NGS22-011","008_NGS22-011","178655","39544","38246","34034","r1"
"009_NGS22-011","009_NGS22-011","94227","24649","23575","21779","r1"
"010_NGS22-011","010_NGS22-011","93472","22982","22142","20239","r1"
"011_NGS22-011","011_NGS22-011","103242","25723","25209","23963","r1"
"012_NGS22-011","012_NGS22-011","94202","22156","21624","21299","r1"
"013_NGS22-011","013_NGS22-011","104613","28484","27767","26034","r1"
"014_NGS22-011","014_NGS22-011","85193","17371","16994","16920","r1"
"015_NGS22-011","015_NGS22-011","133995","37186","36281","34670","r1"
"016_NGS22-011","016_NGS22-011","137359","30723","30074","28456","r1"
"017_NGS22-011","017_NGS22-011","129469","27268","26293","24675","r1"
"018_NGS22-011","018_NGS22-011","98441","20871","20288","19788","r1"
"019_NGS22-011","019_NGS22-011","112076","23922","22967","21760","r1"
"020_NGS22-011","020_NGS22-011","115293","24331","23470","22332","r1"
"021_NGS22-011","021_NGS22-011","93979","24138","23023","20493","r1"
"022_NGS22-011","022_NGS22-011","97989","20683","19727","17307","r1"
"023_NGS22-011","023_NGS22-011","216726","68532","67007","57579","r1"
"024_NGS22-011","024_NGS22-011","102338","27441","26475","23435","r1"
"025_NGS22-011","025_NGS22-011","205679","49861","48887","45156","r1"
"026_NGS22-011","026_NGS22-011","119118","27523","26742","24989","r1"
"027_NGS22-011","027_NGS22-011","131447","31123","30292","27471","r1"
"028_NGS22-011","028_NGS22-011","130748","28952","28141","25468","r1"
